"","long","lat","group","order","region","subregion"
"523",-114.396751403809,36.1364479064941,75,3689,"arizona","mohave"
"524",-114.327995300293,36.1135292053223,75,3690,"arizona","mohave"
"525",-114.310813903809,36.0447769165039,75,3691,"arizona","mohave"
"526",-114.264976501465,36.0275840759277,75,3692,"arizona","mohave"
"527",-114.201942443848,36.021858215332,75,3693,"arizona","mohave"
"528",-114.13892364502,36.0390472412109,75,3694,"arizona","mohave"
"529",-114.116004943848,36.0963401794434,75,3695,"arizona","mohave"
"530",-114.08162689209,36.1364479064941,75,3696,"arizona","mohave"
"531",-114.052978515625,36.2109336853027,75,3697,"arizona","mohave"
"532",-114.047248840332,36.8411865234375,75,3698,"arizona","mohave"
"533",-114.041519165039,36.9958839416504,75,3699,"arizona","mohave"
"534",-113.823799133301,36.9958839416504,75,3700,"arizona","mohave"
"535",-113.537322998047,37.0016136169434,75,3701,"arizona","mohave"
"536",-113.279487609863,37.0016136169434,75,3702,"arizona","mohave"
"537",-113.004470825195,37.0016136169434,75,3703,"arizona","mohave"
"538",-112.907066345215,36.9958839416504,75,3704,"arizona","mohave"
"539",-112.729446411133,37.0016136169434,75,3705,"arizona","mohave"
"540",-112.540374755859,36.9958839416504,75,3706,"arizona","mohave"
"541",-112.534637451172,36.9500503540039,75,3707,"arizona","mohave"
"542",-112.557556152344,36.9042129516602,75,3708,"arizona","mohave"
"543",-112.580474853516,36.8583755493164,75,3709,"arizona","mohave"
"544",-112.632049560547,36.6864852905273,75,3710,"arizona","mohave"
"545",-112.632049560547,36.6406517028809,75,3711,"arizona","mohave"
"546",-112.614852905273,36.5948143005371,75,3712,"arizona","mohave"
"547",-112.632049560547,36.5547065734863,75,3713,"arizona","mohave"
"548",-112.672149658203,36.5203285217285,75,3714,"arizona","mohave"
"549",-112.677879333496,36.4573059082031,75,3715,"arizona","mohave"
"550",-112.654960632324,36.4171943664551,75,3716,"arizona","mohave"
"551",-112.603393554688,36.3942794799805,75,3717,"arizona","mohave"
"552",-112.654960632324,36.3369827270508,75,3718,"arizona","mohave"
"553",-112.683609008789,36.3255233764648,75,3719,"arizona","mohave"
"554",-112.695068359375,36.3427124023438,75,3720,"arizona","mohave"
"555",-112.72371673584,36.3369827270508,75,3721,"arizona","mohave"
"556",-112.712257385254,36.3083343505859,75,3722,"arizona","mohave"
"557",-112.746635437012,36.2911491394043,75,3723,"arizona","mohave"
"558",-112.763824462891,36.2796859741211,75,3724,"arizona","mohave"
"559",-112.952903747559,36.2223930358887,75,3725,"arizona","mohave"
"560",-113.02165222168,36.2281227111816,75,3726,"arizona","mohave"
"561",-113.050300598145,36.1937408447266,75,3727,"arizona","mohave"
"562",-113.11905670166,36.1708221435547,75,3728,"arizona","mohave"
"563",-113.164894104004,36.159366607666,75,3729,"arizona","mohave"
"564",-113.182083129883,36.1421775817871,75,3730,"arizona","mohave"
"565",-113.199272155762,36.1020698547363,75,3731,"arizona","mohave"
"566",-113.222190856934,36.0848846435547,75,3732,"arizona","mohave"
"567",-113.250839233398,36.0848846435547,75,3733,"arizona","mohave"
"568",-113.290946960449,36.0906105041504,75,3734,"arizona","mohave"
"569",-113.319595336914,36.0791511535645,75,3735,"arizona","mohave"
"570",-113.348236083984,36.0447769165039,75,3736,"arizona","mohave"
"571",-113.342506408691,36.0046691894531,75,3737,"arizona","mohave"
"572",-113.313865661621,35.9588317871094,75,3738,"arizona","mohave"
"573",-113.313865661621,35.901538848877,75,3739,"arizona","mohave"
